params,mean_test_score,std_test_score,max_test_score,min_test_score,rank_test_score
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 20, 20), 'solver': 'adam'}",0.34004891886395516,0.012020964406701085,0.36101295641931685,0.32391048292108365,181
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (10, 10), 'solver': 'adam'}",0.34016719035115667,0.005699658949629707,0.3494401885680613,0.33411903358868594,180
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': 50, 'solver': 'adam'}",0.3401687173304515,0.0052743502196473556,0.3464938126104891,0.3333333333333333,179
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 50, 20), 'solver': 'adam'}",0.340874320580974,0.013836885812329875,0.36042402826855124,0.3209658421672556,178
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': 50, 'solver': 'adam'}",0.3411103776983286,0.009295509652445251,0.3582793164407778,0.3305833824395993,177
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': 10, 'solver': 'adam'}",0.34134428316304044,0.00905639741886445,0.35924617196702,0.33451118963486454,176
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50, 20), 'solver': 'adam'}",0.3413474759379297,0.013912587558003146,0.3553329404832057,0.31566548881036516,175
"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (20, 10), 'solver': 'sgd'}",0.341583324830835,0.01244085436679693,0.3594578668238067,0.3294048320565704,174
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 20, 20), 'solver': 'adam'}",0.34228747051021235,0.00441267643732694,0.3504122497055359,0.3370654095462581,173
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': 20, 'solver': 'adam'}",0.342405394956665,0.005845287046094527,0.35217903415783275,0.3352975839717148,172
"{'C': 10, 'degree': 3, 'kernel': 'poly'}",0.34275986237752065,0.008190149489499282,0.3565114908662345,0.33411903358868594,12
"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (10, 10), 'solver': 'adam'}",0.34299550304597665,0.0048727537558213045,0.3500294637595757,0.33647613435474366,171
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'solver': 'adam'}",0.34311023471754,0.011621496777839227,0.3586572438162544,0.3241013553329405,170
"{'C': 100, 'degree': 3, 'kernel': 'poly'}",0.3431132886761298,0.009104738541538341,0.3576900412492634,0.33294048320565706,11
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 20), 'solver': 'adam'}",0.3433481658549384,0.004651703513478711,0.35159010600706714,0.33883323512080143,169
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'solver': 'adam'}",0.343348859936436,0.005906244628072303,0.3504122497055359,0.33451118963486454,168
"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': 20, 'solver': 'adam'}",0.3434668537910384,0.011439732570303902,0.3582793164407778,0.3286219081272085,167
"{'activation': 'relu', 'alpha': 1e-06, 'hidden_layer_sizes': (100, 50, 20), 'solver': 'adam'}",0.34370304972469257,0.007000721310459242,0.3523865645256335,0.3327444051825677,166
"{'C': 10, 'degree': 4, 'kernel': 'poly'}",0.34382014127334803,0.004864854156086075,0.3494401885680613,0.33647613435474366,10
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (20, 10), 'solver': 'adam'}",0.3439379269035011,0.008496925639007854,0.3523865645256335,0.3323512080141426,165
"{'C': 1000, 'solver': 'lbfgs'}",0.3441719017763628,0.008144149672949205,0.35335689045936397,0.33411903358868594,10
"{'C': 10, 'solver': 'lbfgs'}",0.3441719017763628,0.008144149672949205,0.35335689045936397,0.33411903358868594,10
"{'C': 100, 'solver': 'lbfgs'}",0.3441719017763628,0.008144149672949205,0.35335689045936397,0.33411903358868594,10
"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 20), 'solver': 'adam'}",0.3442897568146657,0.012750614018599697,0.36160188457008247,0.33117265763111375,164
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (100, 50), 'solver': 'adam'}",0.34429204728360796,0.012758704361708893,0.3618149675898645,0.328815556865056,163
"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (50, 50), 'solver': 'adam'}",0.3445258139320203,0.006548290407296351,0.35217903415783275,0.3323512080141426,162
"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': 50, 'solver': 'adam'}",0.34452602215646955,0.010061290978999387,0.3547436652916912,0.3252799057159694,161
